level,n,S,MI_with_rest
0,4,0.7870728638715048,1.5741457277430095
1,6,0.7189748242933922,1.4379496485867844
2,10,1.7432059879930497,3.4864119759860994
3,76,23.133514934679877,46.26702986935975
4,418,25.452889443487038,50.905778886974076
